Day,Month,Year,Date,Quarter,Sector,Female Employment,Male Employment,Total
30,September,1997,30-Sep-97,3,"Professional, scientific & technical activities","641,822","905,189","1,547,011"
30,September,1997,30-Sep-97,3,Administrative & support services,"493,758","569,433","1,063,191"
30,September,1997,30-Sep-97,3,Public admin & defence; social security,"674,106","824,928","1,499,035"
30,September,1997,30-Sep-97,3,Education,"1,440,658","610,426","2,051,084"
30,September,1997,30-Sep-97,3,Human health & social work activities,"2,443,351","568,688","3,012,038"
30,September,1997,30-Sep-97,3,Other services,"755,429","584,599","1,340,027"
31,December,1997,31-Dec-97,4,Public Sector,"3,787,087","2,271,734","6,058,821"
31,December,1997,31-Dec-97,4,Private sector,"8,298,316","12,192,086","20,490,402"
31,December,1997,31-Dec-97,4,"Agriculture, forestry & fishing","103,978","284,679","388,657"
31,December,1997,31-Dec-97,4,"Mining, energy and water supply","72,401","297,743","370,144"
31,December,1997,31-Dec-97,4,Manufacturing,"1,149,388","3,235,258","4,384,647"
31,December,1997,31-Dec-97,4,Construction,"261,500","1,752,772","2,014,272"
31,December,1997,31-Dec-97,4,"Wholesale, retail & repair of motor vehicles","2,011,648","2,040,265","4,051,913"
31,December,1997,31-Dec-97,4,Transport & storage,"279,808","1,121,243","1,401,050"
31,December,1997,31-Dec-97,4,Accommod-ation & food services,"791,037","519,734","1,310,772"
31,December,1997,31-Dec-97,4,Information & communication,"259,316","539,214","798,530"
31,December,1997,31-Dec-97,4,Financial & insurance activities,"591,469","563,902","1,155,563"
31,December,1997,31-Dec-97,4,Real estate activities,"91,180","102,548","193,537"
31,December,1997,31-Dec-97,4,"Professional, scientific & technical activities","648,510","878,766","1,527,276"
31,December,1997,31-Dec-97,4,Administrative & support services,"520,204","577,134","1,097,338"
31,December,1997,31-Dec-97,4,Public admin & defence; social security,"666,806","834,972","1,501,778"
31,December,1997,31-Dec-97,4,Education,"1,485,201","604,855","2,090,056"
31,December,1997,31-Dec-97,4,Human health & social work activities,"2,423,527","548,042","2,971,569"
31,December,1997,31-Dec-97,4,Other services,"748,194","573,900","1,322,094"
31,March,1998,31-Mar-98,1,Public Sector,"3,773,013","2,272,017","6,045,030"
31,March,1998,31-Mar-98,1,Private sector,"8,258,577","12,112,345","20,370,922"
31,March,1998,31-Mar-98,1,"Agriculture, forestry & fishing","94,697","279,076","373,773"
31,March,1998,31-Mar-98,1,"Mining, energy and water supply","75,244","291,632","366,876"
31,March,1998,31-Mar-98,1,Manufacturing,"1,132,684","3,184,710","4,317,393"
31,March,1998,31-Mar-98,1,Construction,"259,214","1,710,927","1,970,141"
31,March,1998,31-Mar-98,1,"Wholesale, retail & repair of motor vehicles","1,974,443","2,022,358","3,996,801"
31,March,1998,31-Mar-98,1,Transport & storage,"274,989","1,096,556","1,371,545"
31,March,1998,31-Mar-98,1,Accommod-ation & food services,"766,303","500,930","1,267,233"
31,March,1998,31-Mar-98,1,Information & communication,"268,706","559,823","828,530"
31,March,1998,31-Mar-98,1,Financial & insurance activities,"600,110","576,499","1,176,620"
31,March,1998,31-Mar-98,1,Real estate activities,"96,824","93,917","190,730"
31,March,1998,31-Mar-98,1,"Professional, scientific & technical activities","647,338","908,525","1,555,863"
31,March,1998,31-Mar-98,1,Administrative & support services,"530,253","571,583","1,101,836"
31,March,1998,31-Mar-98,1,Public admin & defence; social security,"662,090","835,222","1,497,313"
31,March,1998,31-Mar-98,1,Education,"1,515,527","615,021","2,130,549"
31,March,1998,31-Mar-98,1,Human health & social work activities,"2,404,450","566,927","2,971,376"
31,March,1998,31-Mar-98,1,Other services,"748,434","576,732","1,325,166"
30,June,1998,30-Jun-98,2,Public Sector,"3,766,027","2,295,489","6,061,516"
30,June,1998,30-Jun-98,2,Private sector,"8,296,736","12,171,922","20,468,658"
30,June,1998,30-Jun-98,2,"Agriculture, forestry & fishing","103,976","280,844","384,820"
30,June,1998,30-Jun-98,2,"Mining, energy and water supply","73,334","291,215","364,549"
30,June,1998,30-Jun-98,2,Manufacturing,"1,123,445","3,236,950","4,360,396"
30,June,1998,30-Jun-98,2,Construction,"247,081","1,717,192","1,964,274"
30,June,1998,30-Jun-98,2,"Wholesale, retail & repair of motor vehicles","1,959,422","1,995,213","3,954,635"
30,June,1998,30-Jun-98,2,Transport & storage,"293,410","1,112,077","1,405,487"
30,June,1998,30-Jun-98,2,Accommod-ation & food services,"789,171","525,411","1,314,583"
30,June,1998,30-Jun-98,2,Information & communication,"270,579","555,538","826,117"
30,June,1998,30-Jun-98,2,Financial & insurance activities,"599,523","580,990","1,180,536"
30,June,1998,30-Jun-98,2,Real estate activities,"95,851","94,792","190,619"
30,June,1998,30-Jun-98,2,"Professional, scientific & technical activities","646,354","890,648","1,537,003"
30,June,1998,30-Jun-98,2,Administrative & support services,"519,577","561,488","1,081,065"
30,June,1998,30-Jun-98,2,Public admin & defence; social security,"674,173","835,643","1,509,817"
30,June,1998,30-Jun-98,2,Education,"1,533,007","630,672","2,163,680"
30,June,1998,30-Jun-98,2,Human health & social work activities,"2,389,157","577,196","2,966,353"
30,June,1998,30-Jun-98,2,Other services,"767,202","583,817","1,351,019"
30,September,1998,30-Sep-98,3,Public Sector,"3,714,918","2,309,819","6,024,737"
30,September,1998,30-Sep-98,3,Private sector,"8,493,136","12,326,148","20,819,284"
30,September,1998,30-Sep-98,3,"Agriculture, forestry & fishing","102,098","272,795","374,893"
30,September,1998,30-Sep-98,3,"Mining, energy and water supply","82,400","294,631","377,031"
30,September,1998,30-Sep-98,3,Manufacturing,"1,140,257","3,251,962","4,392,219"
30,September,1998,30-Sep-98,3,Construction,"246,820","1,737,023","1,983,843"
30,September,1998,30-Sep-98,3,"Wholesale, retail & repair of motor vehicles","1,997,434","2,000,508","3,997,942"
30,September,1998,30-Sep-98,3,Transport & storage,"305,047","1,163,732","1,468,778"
30,September,1998,30-Sep-98,3,Accommod-ation & food services,"806,480","520,232","1,326,712"
30,September,1998,30-Sep-98,3,Information & communication,"269,223","576,702","845,925"
30,September,1998,30-Sep-98,3,Financial & insurance activities,"606,427","568,272","1,174,782"
30,September,1998,30-Sep-98,3,Real estate activities,"93,529","94,401","187,848"
30,September,1998,30-Sep-98,3,"Professional, scientific & technical activities","675,191","909,662","1,584,853"
30,September,1998,30-Sep-98,3,Administrative & support services,"534,824","625,347","1,160,171"
30,September,1998,30-Sep-98,3,Public admin & defence; social security,"693,317","838,847","1,532,164"
30,September,1998,30-Sep-98,3,Education,"1,482,591","609,620","2,092,211"
30,September,1998,30-Sep-98,3,Human health & social work activities,"2,434,434","604,023","3,038,457"
30,September,1998,30-Sep-98,3,Other services,"764,140","592,096","1,356,236"
31,December,1998,31-Dec-98,4,Public Sector,"3,743,841","2,292,769","6,036,610"
31,December,1998,31-Dec-98,4,Private sector,"8,543,375","12,304,767","20,848,142"
31,December,1998,31-Dec-98,4,"Agriculture, forestry & fishing","92,488","246,423","338,912"
31,December,1998,31-Dec-98,4,"Mining, energy and water supply","88,447","300,803","389,250"
31,December,1998,31-Dec-98,4,Manufacturing,"1,120,330","3,199,514","4,319,844"
31,December,1998,31-Dec-98,4,Construction,"248,406","1,768,484","2,016,891"
31,December,1998,31-Dec-98,4,"Wholesale, retail & repair of motor vehicles","2,071,071","2,017,877","4,088,948"
31,December,1998,31-Dec-98,4,Transport & storage,"300,918","1,183,863","1,484,781"
31,December,1998,31-Dec-98,4,Accommod-ation & food services,"773,511","497,243","1,270,754"
31,December,1998,31-Dec-98,4,Information & communication,"276,640","600,968","877,608"
31,December,1998,31-Dec-98,4,Financial & insurance activities,"620,896","538,189","1,159,180"
31,December,1998,31-Dec-98,4,Real estate activities,"98,331","92,679","190,914"
31,December,1998,31-Dec-98,4,"Professional, scientific & technical activities","699,883","918,399","1,618,282"
31,December,1998,31-Dec-98,4,Administrative & support services,"536,042","604,655","1,140,697"
31,December,1998,31-Dec-98,4,Public admin & defence; social security,"701,103","833,267","1,534,370"
31,December,1998,31-Dec-98,4,Education,"1,547,293","643,250","2,190,543"
31,December,1998,31-Dec-98,4,Human health & social work activities,"2,367,270","606,749","2,974,019"
31,December,1998,31-Dec-98,4,Other services,"769,325","570,720","1,340,044"
31,March,1999,31-Mar-99,1,Public Sector,"3,779,294","2,307,239","6,086,533"
31,March,1999,31-Mar-99,1,Private sector,"8,465,921","12,224,562","20,690,483"
31,March,1999,31-Mar-99,1,"Agriculture, forestry & fishing","86,580","245,803","332,384"
31,March,1999,31-Mar-99,1,"Mining, energy and water supply","87,401","299,249","386,650"
31,March,1999,31-Mar-99,1,Manufacturing,"1,100,152","3,159,689","4,259,841"
31,March,1999,31-Mar-99,1,Construction,"244,665","1,711,762","1,956,426"
31,March,1999,31-Mar-99,1,"Wholesale, retail & repair of motor vehicles","2,034,385","2,009,624","4,044,008"
31,March,1999,31-Mar-99,1,Transport & storage,"294,428","1,145,317","1,439,745"
31,March,1999,31-Mar-99,1,Accommod-ation & food services,"747,364","480,166","1,227,530"
31,March,1999,31-Mar-99,1,Information & communication,"286,514","609,642","896,156"
31,March,1999,31-Mar-99,1,Financial & insurance activities,"621,167","547,393","1,168,606"
31,March,1999,31-Mar-99,1,Real estate activities,"106,758","97,852","204,563"
31,March,1999,31-Mar-99,1,"Professional, scientific & technical activities","709,556","941,221","1,650,777"
31,March,1999,31-Mar-99,1,Administrative & support services,"521,834","616,375","1,138,209"
31,March,1999,31-Mar-99,1,Public admin & defence; social security,"691,770","835,151","1,526,921"
31,March,1999,31-Mar-99,1,Education,"1,597,209","685,308","2,282,517"
31,March,1999,31-Mar-99,1,Human health & social work activities,"2,369,805","608,914","2,978,719"
31,March,1999,31-Mar-99,1,Other services,"764,771","550,424","1,315,195"
30,June,1999,30-Jun-99,2,Public Sector,"3,832,320","2,329,604","6,161,924"
30,June,1999,30-Jun-99,2,Private sector,"8,452,452","12,282,545","20,734,997"
30,June,1999,30-Jun-99,2,"Agriculture, forestry & fishing","86,654","253,743","340,397"
30,June,1999,30-Jun-99,2,"Mining, energy and water supply","85,185","294,377","379,562"
30,June,1999,30-Jun-99,2,Manufacturing,"1,084,874","3,100,172","4,185,047"
30,June,1999,30-Jun-99,2,Construction,"250,160","1,742,222","1,992,382"
30,June,1999,30-Jun-99,2,"Wholesale, retail & repair of motor vehicles","2,032,345","2,030,247","4,062,592"
30,June,1999,30-Jun-99,2,Transport & storage,"295,484","1,135,964","1,431,448"
30,June,1999,30-Jun-99,2,Accommod-ation & food services,"739,770","495,229","1,234,999"
30,June,1999,30-Jun-99,2,Information & communication,"302,437","612,333","914,770"
30,June,1999,30-Jun-99,2,Financial & insurance activities,"598,345","547,071","1,145,460"
30,June,1999,30-Jun-99,2,Real estate activities,"98,801","94,045","192,802"
30,June,1999,30-Jun-99,2,"Professional, scientific & technical activities","693,019","946,199","1,639,218"
30,June,1999,30-Jun-99,2,Administrative & support services,"534,278","652,976","1,187,254"
30,June,1999,30-Jun-99,2,Public admin & defence; social security,"713,087","864,697","1,577,784"
30,June,1999,30-Jun-99,2,Education,"1,625,760","687,287","2,313,048"
30,June,1999,30-Jun-99,2,Human health & social work activities,"2,396,926","595,057","2,991,984"
30,June,1999,30-Jun-99,2,Other services,"765,942","579,226","1,345,168"
30,September,1999,30-Sep-99,3,Public Sector,"3,832,569","2,278,130","6,110,699"
30,September,1999,30-Sep-99,3,Private sector,"8,571,166","12,538,220","21,109,386"
30,September,1999,30-Sep-99,3,"Agriculture, forestry & fishing","85,661","264,090","349,751"
30,September,1999,30-Sep-99,3,"Mining, energy and water supply","92,316","300,033","392,349"
30,September,1999,30-Sep-99,3,Manufacturing,"1,102,076","3,141,051","4,243,128"
30,September,1999,30-Sep-99,3,Construction,"253,231","1,756,110","2,009,340"
30,September,1999,30-Sep-99,3,"Wholesale, retail & repair of motor vehicles","2,061,896","2,063,557","4,125,453"
30,September,1999,30-Sep-99,3,Transport & storage,"308,607","1,171,128","1,479,735"
30,September,1999,30-Sep-99,3,Accommod-ation & food services,"749,787","511,851","1,261,637"
30,September,1999,30-Sep-99,3,Information & communication,"308,553","630,636","939,189"
30,September,1999,30-Sep-99,3,Financial & insurance activities,"610,453","565,624","1,176,080"
30,September,1999,30-Sep-99,3,Real estate activities,"109,124","101,467","210,588"
30,September,1999,30-Sep-99,3,"Professional, scientific & technical activities","709,425","953,969","1,663,394"
30,September,1999,30-Sep-99,3,Administrative & support services,"552,514","674,576","1,227,090"
30,September,1999,30-Sep-99,3,Public admin & defence; social security,"718,595","849,023","1,567,618"
30,September,1999,30-Sep-99,3,Education,"1,577,416","660,192","2,237,608"
30,September,1999,30-Sep-99,3,Human health & social work activities,"2,416,399","581,463","2,997,862"
30,September,1999,30-Sep-99,3,Other services,"766,182","615,355","1,381,537"
31,December,1999,31-Dec-99,4,Public Sector,"3,882,341","2,288,703","6,171,044"
31,December,1999,31-Dec-99,4,Private sector,"8,571,601","12,493,170","21,064,771"
31,December,1999,31-Dec-99,4,"Agriculture, forestry & fishing","81,766","246,612","328,378"
31,December,1999,31-Dec-99,4,"Mining, energy and water supply","90,980","303,073","394,053"
31,December,1999,31-Dec-99,4,Manufacturing,"1,055,479","3,142,969","4,198,449"
31,December,1999,31-Dec-99,4,Construction,"254,662","1,773,738","2,028,400"
31,December,1999,31-Dec-99,4,"Wholesale, retail & repair of motor vehicles","2,099,473","2,045,053","4,144,526"
31,December,1999,31-Dec-99,4,Transport & storage,"313,224","1,157,548","1,470,772"
31,December,1999,31-Dec-99,4,Accommod-ation & food services,"731,407","508,115","1,239,522"
31,December,1999,31-Dec-99,4,Information & communication,"313,246","640,488","953,733"
31,December,1999,31-Dec-99,4,Financial & insurance activities,"613,559","578,536","1,192,088"
31,December,1999,31-Dec-99,4,Real estate activities,"102,804","96,308","199,119"
31,December,1999,31-Dec-99,4,"Professional, scientific & technical activities","716,781","937,196","1,653,976"
31,December,1999,31-Dec-99,4,Administrative & support services,"557,982","672,947","1,230,929"
31,December,1999,31-Dec-99,4,Public admin & defence; social security,"718,451","872,454","1,590,905"
31,December,1999,31-Dec-99,4,Education,"1,626,928","662,865","2,289,794"
31,December,1999,31-Dec-99,4,Human health & social work activities,"2,438,412","548,040","2,986,451"
31,December,1999,31-Dec-99,4,Other services,"765,734","622,737","1,388,472"
31,March,2000,31-Mar-00,1,Public Sector,"3,893,098","2,319,962","6,213,060"
31,March,2000,31-Mar-00,1,Private sector,"8,519,822","12,386,828","20,906,650"
31,March,2000,31-Mar-00,1,"Agriculture, forestry & fishing","83,236","239,350","322,586"
31,March,2000,31-Mar-00,1,"Mining, energy and water supply","84,363","302,059","386,422"
31,March,2000,31-Mar-00,1,Manufacturing,"1,028,921","3,069,607","4,098,528"
31,March,2000,31-Mar-00,1,Construction,"257,501","1,755,746","2,013,247"
31,March,2000,31-Mar-00,1,"Wholesale, retail & repair of motor vehicles","2,066,069","2,040,278","4,106,347"
31,March,2000,31-Mar-00,1,Transport & storage,"308,422","1,164,067","1,472,490"
31,March,2000,31-Mar-00,1,Accommod-ation & food services,"712,377","489,260","1,201,637"
31,March,2000,31-Mar-00,1,Information & communication,"320,510","649,306","969,816"
31,March,2000,31-Mar-00,1,Financial & insurance activities,"620,328","578,191","1,198,485"
31,March,2000,31-Mar-00,1,Real estate activities,"100,655","91,059","191,748"
31,March,2000,31-Mar-00,1,"Professional, scientific & technical activities","712,242","929,812","1,642,055"
31,March,2000,31-Mar-00,1,Administrative & support services,"545,420","688,407","1,233,827"
31,March,2000,31-Mar-00,1,Public admin & defence; social security,"729,219","880,942","1,610,160"
31,March,2000,31-Mar-00,1,Education,"1,700,650","672,798","2,373,449"
31,March,2000,31-Mar-00,1,Human health & social work activities,"2,399,110","549,464","2,948,575"
31,March,2000,31-Mar-00,1,Other services,"754,815","621,437","1,376,252"
30,June,2000,30-Jun-00,2,Public Sector,"3,912,713","2,341,728","6,254,441"
30,June,2000,30-Jun-00,2,Private sector,"8,580,751","12,443,682","21,024,433"
30,June,2000,30-Jun-00,2,"Agriculture, forestry & fishing","87,972","247,125","335,097"
30,June,2000,30-Jun-00,2,"Mining, energy and water supply","88,117","316,675","404,792"
30,June,2000,30-Jun-00,2,Manufacturing,"1,024,569","3,041,164","4,065,733"
30,June,2000,30-Jun-00,2,Construction,"270,316","1,780,999","2,051,315"
30,June,2000,30-Jun-00,2,"Wholesale, retail & repair of motor vehicles","2,075,320","2,006,697","4,082,017"
30,June,2000,30-Jun-00,2,Transport & storage,"308,678","1,166,217","1,474,895"
30,June,2000,30-Jun-00,2,Accommod-ation & food services,"722,483","504,379","1,226,863"
30,June,2000,30-Jun-00,2,Information & communication,"329,679","665,154","994,833"
30,June,2000,30-Jun-00,2,Financial & insurance activities,"621,338","572,254","1,193,647"
30,June,2000,30-Jun-00,2,Real estate activities,"96,837","93,642","190,425"
30,June,2000,30-Jun-00,2,"Professional, scientific & technical activities","711,220","939,429","1,650,649"
30,June,2000,30-Jun-00,2,Administrative & support services,"548,579","687,973","1,236,552"
30,June,2000,30-Jun-00,2,Public admin & defence; social security,"741,755","903,094","1,644,849"
30,June,2000,30-Jun-00,2,Education,"1,682,455","666,734","2,349,189"
30,June,2000,30-Jun-00,2,Human health & social work activities,"2,425,054","569,283","2,994,336"
30,June,2000,30-Jun-00,2,Other services,"768,246","638,017","1,406,263"
30,September,2000,30-Sep-00,3,Public Sector,"3,914,120","2,339,695","6,253,815"
30,September,2000,30-Sep-00,3,Private sector,"8,688,657","12,612,385","21,301,042"
30,September,2000,30-Sep-00,3,"Agriculture, forestry & fishing","93,822","242,926","336,747"
30,September,2000,30-Sep-00,3,"Mining, energy and water supply","84,947","316,824","401,771"
30,September,2000,30-Sep-00,3,Manufacturing,"1,009,191","3,053,151","4,062,342"
30,September,2000,30-Sep-00,3,Construction,"275,933","1,798,972","2,074,905"
30,September,2000,30-Sep-00,3,"Wholesale, retail & repair of motor vehicles","2,047,976","2,043,236","4,091,212"
30,September,2000,30-Sep-00,3,Transport & storage,"321,916","1,211,242","1,533,157"
30,September,2000,30-Sep-00,3,Accommod-ation & food services,"752,450","525,405","1,277,855"
30,September,2000,30-Sep-00,3,Information & communication,"339,440","692,175","1,031,615"
30,September,2000,30-Sep-00,3,Financial & insurance activities,"631,567","608,434","1,239,906"
30,September,2000,30-Sep-00,3,Real estate activities,"103,713","92,083","195,891"
30,September,2000,30-Sep-00,3,"Professional, scientific & technical activities","728,648","935,067","1,663,715"
30,September,2000,30-Sep-00,3,Administrative & support services,"580,198","707,776","1,287,975"
30,September,2000,30-Sep-00,3,Public admin & defence; social security,"772,048","912,792","1,684,840"
30,September,2000,30-Sep-00,3,Education,"1,645,188","643,615","2,288,803"
30,September,2000,30-Sep-00,3,Human health & social work activities,"2,454,397","575,366","3,029,763"
30,September,2000,30-Sep-00,3,Other services,"790,310","610,199","1,400,508"
31,December,2000,31-Dec-00,4,Public Sector,"3,999,909","2,366,491","6,366,400"
31,December,2000,31-Dec-00,4,Private sector,"8,566,843","12,555,045","21,121,888"
31,December,2000,31-Dec-00,4,"Agriculture, forestry & fishing","82,980","243,125","326,105"
31,December,2000,31-Dec-00,4,"Mining, energy and water supply","86,776","313,168","399,944"
31,December,2000,31-Dec-00,4,Manufacturing,"1,008,319","2,992,953","4,001,272"
31,December,2000,31-Dec-00,4,Construction,"272,233","1,789,272","2,061,505"
31,December,2000,31-Dec-00,4,"Wholesale, retail & repair of motor vehicles","2,077,622","2,009,695","4,087,317"
31,December,2000,31-Dec-00,4,Transport & storage,"306,740","1,238,535","1,545,275"
31,December,2000,31-Dec-00,4,Accommod-ation & food services,"709,012","530,637","1,239,650"
31,December,2000,31-Dec-00,4,Information & communication,"347,817","707,732","1,055,550"
31,December,2000,31-Dec-00,4,Financial & insurance activities,"626,272","623,642","1,249,978"
31,December,2000,31-Dec-00,4,Real estate activities,"101,608","106,638","208,182"
31,December,2000,31-Dec-00,4,"Professional, scientific & technical activities","706,079","915,824","1,621,903"
31,December,2000,31-Dec-00,4,Administrative & support services,"576,550","683,437","1,259,987"
31,December,2000,31-Dec-00,4,Public admin & defence; social security,"804,486","916,328","1,720,813"
31,December,2000,31-Dec-00,4,Education,"1,707,493","663,529","2,371,022"
31,December,2000,31-Dec-00,4,Human health & social work activities,"2,415,559","584,144","2,999,703"
31,December,2000,31-Dec-00,4,Other services,"765,066","608,503","1,373,568"
31,March,2001,31-Mar-01,1,Public Sector,"4,039,141","2,346,849","6,385,990"
31,March,2001,31-Mar-01,1,Private sector,"8,489,889","12,502,682","20,992,571"
31,March,2001,31-Mar-01,1,"Agriculture, forestry & fishing","75,377","228,966","304,342"
31,March,2001,31-Mar-01,1,"Mining, energy and water supply","88,489","328,601","417,090"
31,March,2001,31-Mar-01,1,Manufacturing,"976,765","2,972,137","3,948,901"
31,March,2001,31-Mar-01,1,Construction,"273,068","1,773,365","2,046,433"
31,March,2001,31-Mar-01,1,"Wholesale, retail & repair of motor vehicles","2,044,954","2,025,814","4,070,768"
31,March,2001,31-Mar-01,1,Transport & storage,"307,458","1,201,143","1,508,601"
31,March,2001,31-Mar-01,1,Accommod-ation & food services,"701,870","506,285","1,208,155"
31,March,2001,31-Mar-01,1,Information & communication,"349,383","722,008","1,071,391"
31,March,2001,31-Mar-01,1,Financial & insurance activities,"623,329","604,202","1,227,510"
31,March,2001,31-Mar-01,1,Real estate activities,"107,869","102,835","210,725"
31,March,2001,31-Mar-01,1,"Professional, scientific & technical activities","713,378","939,022","1,652,400"
31,March,2001,31-Mar-01,1,Administrative & support services,"589,067","675,622","1,264,689"
31,March,2001,31-Mar-01,1,Public admin & defence; social security,"829,468","910,207","1,739,674"
31,March,2001,31-Mar-01,1,Education,"1,712,489","659,807","2,372,296"
31,March,2001,31-Mar-01,1,Human health & social work activities,"2,413,701","608,892","3,022,593"
31,March,2001,31-Mar-01,1,Other services,"739,886","598,181","1,338,067"
30,June,2001,30-Jun-01,2,Public Sector,"4,047,170","2,346,930","6,394,100"
30,June,2001,30-Jun-01,2,Private sector,"8,593,000","12,548,373","21,141,373"
30,June,2001,30-Jun-01,2,"Agriculture, forestry & fishing","78,241","219,357","297,599"
30,June,2001,30-Jun-01,2,"Mining, energy and water supply","81,707","320,302","402,009"
30,June,2001,30-Jun-01,2,Manufacturing,"973,210","2,945,705","3,918,915"
30,June,2001,30-Jun-01,2,Construction,"269,799","1,825,802","2,095,600"
30,June,2001,30-Jun-01,2,"Wholesale, retail & repair of motor vehicles","2,027,949","2,006,617","4,034,567"
30,June,2001,30-Jun-01,2,Transport & storage,"306,345","1,224,270","1,530,614"
30,June,2001,30-Jun-01,2,Accommod-ation & food services,"726,060","524,516","1,250,576"
30,June,2001,30-Jun-01,2,Information & communication,"343,081","733,348","1,076,429"
30,June,2001,30-Jun-01,2,Financial & insurance activities,"631,672","584,686","1,216,547"
30,June,2001,30-Jun-01,2,Real estate activities,"101,206","109,143","210,159"
30,June,2001,30-Jun-01,2,"Professional, scientific & technical activities","707,994","941,137","1,649,131"
30,June,2001,30-Jun-01,2,Administrative & support services,"592,609","697,317","1,289,926"
30,June,2001,30-Jun-01,2,Public admin & defence; social security,"856,560","925,645","1,782,205"
30,June,2001,30-Jun-01,2,Education,"1,702,371","652,722","2,355,093"
30,June,2001,30-Jun-01,2,Human health & social work activities,"2,494,091","614,970","3,109,061"
30,June,2001,30-Jun-01,2,Other services,"754,561","573,324","1,327,885"
30,September,2001,30-Sep-01,3,Public Sector,"3,986,484","2,293,580","6,280,064"
30,September,2001,30-Sep-01,3,Private sector,"8,661,977","12,777,872","21,439,849"
30,September,2001,30-Sep-01,3,"Agriculture, forestry & fishing","87,203","224,472","311,675"
